What is the term for the tendency to perceive the opposing political party as immoral and unlikable?,Affective Polarization (AP).
How is Ideological Polarization (IP) different from Affective Polarization (AP)?,"IP reflects the distance between partisans on specific issues and policies, whereas AP is about feelings of dislike and distrust toward the opposing party."
Intellectual humility (IH) is often conceptualized as a metacognitive disposition marked by the recognition that one's beliefs may be _____.,fallible.
"According to Iyengar et al. (2019), the increase in affective polarization since the 1970s is primarily due to people feeling more _____ toward the opposite party.",negative.
What is the 'intrapersonal' account of intellectual humility?,"It conceptualizes IH as primarily a private, metacognitive assessment of one's own beliefs and their evidentiary basis, independent of interpersonal behaviors."
What is the 'interpersonal' or 'relational' account of intellectual humility?,"It conceptualizes IH as being fundamentally relational, comprising traits like non-defensiveness, fair negotiation, and being other-oriented."
What did the Bowes et al. (2020) study find regarding the general relationship between intellectual humility (IH) and affective polarization (AP)?,Measures of intellectual humility were robustly negatively associated with affective polarization.
"According to social identity theory, what happens when we identify with a political party?","We instinctively divide the world into an in-group (our party) and an out-group (the opposing party), triggering positive feelings for the in-group and negative evaluations of the out-group."
What is the most widely used survey-based measure for affective polarization?,The 'feeling thermometer' question from the American National Election Study (ANES).
The phenomenon where partisans who identify with the party most closely reflecting their ideology has steadily increased is known as _____.,party sorting.
"According to Smith (2023), what is Specific Intellectual Humility (SIH)?","The extent to which a person holds a particular belief with humility or arrogance, as opposed to their general disposition."
"What cognitive process causes people to assume their subjective perceptions are objective and free of bias, leading to intellectual arrogance?",Naïve realism.
The human tendency to overlook personal biases while being more likely to notice bias in others' beliefs is called the _____.,bias blind spot.
What were the main findings of the survey experiment in Smith (2023) regarding priming humility?,Priming humility increased intellectual humility and decreased political hostility toward dissenters without changing their underlying opinion on the issue.
The Comprehensive Intellectual Humility Scale (CIHS) measures which four dimensions of IH?,"Independence of Intellect and Ego, Openness to Revising One’s Viewpoint, Respect for Others’ Viewpoints, and Lack of Intellectual Overconfidence."
The Leary Intellectual Humility Scale (LIHS) was designed to measure which features of IH?,The metacognitive features of IH.
What is a major limitation of using survey-based indicators like 'feeling thermometers' to measure partisan affect?,They are reactive and susceptible to intentional exaggeration or suppression based on normative pressures.
"What is the term for the finding that partisan animus can influence behaviors and attitudes outside the political realm, such as in dating or hiring?",Affective spillover.
"According to Ahler & Sood (2018), how can correcting misperceptions about the demographic composition of the other party affect AP?",It can reduce affective polarization by making the other party seem less extreme and more similar to oneself.
What effect did Levendusky (2018a) find when priming a common 'American' identity among partisans?,It reduced animus toward the other party.
The unconscious seeking and interpretation of information that confirms desired beliefs is known as _____.,motivated reasoning.
"According to Bowes et al. (2020), which type of IH measures were stronger negative correlates of AP?","Measures assessing both intrapersonal and interpersonal aspects of IH, compared to those assessing only intrapersonal features."
What does research by Iyengar et al. (2012) show about Americans' attitudes toward interparty marriage over time?,Americans have grown increasingly averse to the idea of their child marrying someone from the opposing political party.
Iyengar & Westwood (2015) used what kind of test to document unconscious partisan bias?,An Implicit Association Test (IAT).
How did implicit partisan bias compare to implicit racial bias in the Iyengar & Westwood (2015) study?,Implicit partisan bias was more widespread and pronounced than implicit racial bias.
What behavioral measures have been used to document affective polarization in lab settings?,"Economic games like the trust game and dictator game, which measure financial allocations to co-partisans versus opposing partisans."
What has research on political homophily in online dating found?,"Partisan matching significantly increases the likelihood of a couple exchanging messages, on par with sorting by socioeconomic status."
"According to the study by Smith (2023), what was the most consistent topic-specific predictor of lower Specific Intellectual Humility (SIH)?",Higher perceived expertise on the topic.
The fixed-effects regression models in Smith (2023) demonstrated that _____ variation in intellectual humility predicts issue-specific hostility.,intrapersonal.
What is a key difference between General Intellectual Humility (GIH) and Specific Intellectual Humility (SIH) in terms of malleability?,"SIH is much more malleable and responsive to ephemeral circumstances, while GIH stems from more stable cognitive processes."
"According to Smith (2023), why do measures of General Intellectual Humility (GIH) likely produce 'false positives'?",Participants may embrace intellectual humility in the abstract but reject it in specific circumstances where it counts.
What is a 'social distance' measure of affective polarization?,"A measure of the extent to which individuals feel comfortable interacting with out-group members, such as in a potential marriage."
"According to Mason (2015, 2018b), the decline of _____ identities, where social identities like race and religion align with partisanship, is at the root of affective polarization.",cross-cutting.
"What role do political campaigns, particularly negative advertising, play in affective polarization?",They exacerbate partisan tensions and have strong effects on increasing affective polarization.
How can partisanship distort perceptions of the economy?,People tend to believe economic outcomes are more favorable when their party is in power and more unfavorable when it is out of power.
What is the 'introspection illusion' as it relates to intellectual arrogance?,"The belief that one has accurately evaluated their own perspective and found no bias, even when bias is present."
"In the Bowes et al. (2020) study, did intellectual humility still predict affective polarization after controlling for general personality traits and dogmatism?","Yes, IH significantly incremented measures of allied constructs in the statistical prediction of AP."
"What did the research by Stanley, Sinclair, and Seli (2020) find about IH and perceptions of political opponents?",Higher IH was associated with more favorable perceptions of opponents' intelligence and morality and an increased willingness to be friends with them.
What do Klar et al. (2018) suggest that social distance measures of AP might be conflating?,"They may conflate partisan animus with a general dislike of politics, as opposition to interparty marriage falls when the potential spouse is described as apolitical."
"According to Iyengar & Westwood (2015), how did partisan cues affect a nonpolitical decision like selecting a scholarship recipient?","Partisan cues were much more influential than racial cues, with a large majority of partisans picking the applicant from their own party, even if they were less qualified."
What is the primary argument against the idea that the high-choice media environment is the main cause of affective polarization?,"Those who are already the most polarized are the most motivated to watch partisan news, and many Americans still select ideologically neutral content."
"In the Smith (2023) experiment, what was the effect of the humility-priming treatment on participants' actual support for marijuana legalization?",The treatment had no apparent effect on their actual support for the policy.
What does it mean to say intellectual humility has 'incremental validity' in predicting affective polarization?,IH accounts for a significant amount of variance in AP even after controlling for the effects of related constructs like general personality traits or dogmatism.
Why is partisanship considered a particularly salient and powerful social identifier?,"It is acquired at a young age, rarely changes, and is frequently reinforced by recurring political campaigns."
"From a naive realist perspective, if someone disagrees with you, what is the most likely initial explanation for their disagreement?",That they lack sufficient information and are ignorant.
"Which two characteristics, aside from General IH, consistently predicted higher Specific IH in the Smith (2023) study?",Liberal ideology and higher formal education.
"The Specific Intellectual Humility Scale (SIHS), as used by Bowes et al. and Smith, measures IH in relation to what?","A specific domain or topic, such as politics."
Bowes et al. (2020) found preliminary evidence that IH buffered the relationship between strong political belief and AP. What does this 'buffering' effect mean?,It means that the tendency for strong beliefs to increase AP was weakened or reduced among individuals with high IH.
Research by McConnell et al. (2018) on online labor markets found that people were willing to accept lower compensation from a _____-congruent employer.,partisan.
"What is one potential consequence of affective polarization for governance, according to Hetherington & Rudolph (2015)?","It undermines trust on the part of the party that is out of power, making governing more complex."